driverId,hours-logged_sum,hours-logged_mean,hours-logged_count,miles-logged_sum,miles-logged_mean,miles-logged_count,name,ssn,location,certified,wage-plan
10,3232,62.15384615384615,52,147150,2829.8076923076924,52,George Vetticaden,621011971,244-4532 Nulla Rd.,N,miles
11,3642,70.03846153846153,52,179300,3448.076923076923,52,Jamie Engesser,262112338,366-4125 Ac Street,N,miles
12,2639,50.75,52,135962,2614.653846153846,52,Paul Coddin,198041975,Ap #622-957 Risus. Street,Y,hours
13,2727,52.44230769230769,52,134126,2579.346153846154,52,Joe Niemiec,139907145,2071 Hendrerit. Ave,Y,hours
14,2781,53.48076923076923,52,136624,2627.3846153846152,52,Adis Cesir,820812209,Ap #810-1228 In St.,Y,hours
15,2734,52.57692307692308,52,138750,2668.269230769231,52,Rohit Bakshi,239005227,648-5681 Dui- Rd.,Y,hours
16,2746,52.80769230769231,52,137205,2638.5576923076924,52,Tom McCuch,363303105,P.O. Box 313- 962 Parturient Rd.,Y,hours
17,2701,51.94230769230769,52,135992,2615.230769230769,52,Eric Mizell,123808238,P.O. Box 579- 2191 Gravida. Street,Y,hours
18,2654,51.03846153846154,52,137834,2650.653846153846,52,Grant Liu,171010151,Ap #928-3159 Vestibulum Av.,Y,hours
19,2738,52.65384615384615,52,137968,2653.230769230769,52,Ajay Singh,160005158,592-9430 Nonummy Avenue,Y,hours
20,2644,50.84615384615385,52,134564,2587.769230769231,52,Chris Harris,921812303,883-2691 Proin Avenue,Y,hours
21,2751,52.90384615384615,52,138719,2667.673076923077,52,Jeff Markham,209408086,Ap #852-7966 Facilisis St.,Y,hours
22,2733,52.55769230769231,52,137550,2645.1923076923076,52,Nadeem Asghar,783204269,154-9147 Aliquam Ave,Y,hours
23,2750,52.88461538461539,52,137980,2653.4615384615386,52,Adam Diaz,928312208,P.O. Box 260- 6127 Vitae Road,Y,hours
24,2647,50.90384615384615,52,134461,2585.7884615384614,52,Don Hilborn,254412152,4361 Ac Road,Y,hours
25,2723,52.36538461538461,52,139180,2676.5384615384614,52,Jean-Philippe Playe,913310051,P.O. Box 812- 6238 Ac Rd.,Y,hours
26,2730,52.5,52,137530,2644.8076923076924,52,Michael Aube,124705141,P.O. Box 213- 8948 Nec Ave,Y,hours
27,2771,53.28846153846154,52,137922,2652.346153846154,52,Mark Lochbihler,392603159,8355 Ipsum St.,Y,hours
28,2723,52.36538461538461,52,137469,2643.6346153846152,52,Olivier Renault,959908181,P.O. Box 243- 6509 Erat. Avenue,Y,hours
29,2760,53.07692307692308,52,138255,2658.75,52,Teddy Choi,185502192,P.O. Box 106- 7003 Amet Rd.,Y,hours
30,2773,53.32692307692308,52,137473,2643.7115384615386,52,Dan Rice,282307061,Ap #881-9267 Mollis Avenue,Y,hours
31,2704,52.0,52,137057,2635.7115384615386,52,Rommel Garcia,858912101,P.O. Box 945- 6015 Sociis St.,Y,hours
32,2736,52.61538461538461,52,137422,2642.730769230769,52,Ryan Templeton,290304287,765-6599 Egestas. Av.,Y,hours
33,2759,53.05769230769231,52,139285,2678.5576923076924,52,Sridhara Sabbella,967409015,Ap #477-2507 Sagittis Avenue,Y,hours
34,2811,54.05769230769231,52,137728,2648.6153846153848,52,Frank Romano,391407216,Ap #753-6814 Quis Ave,Y,hours
35,2728,52.46153846153846,52,138727,2667.826923076923,52,Emil Siemes,971401151,321-2976 Felis Rd.,Y,hours
36,2795,53.75,52,138025,2654.326923076923,52,Andrew Grande,245303216,Ap #685-9598 Egestas Rd.,Y,hours
37,2694,51.80769230769231,52,137223,2638.903846153846,52,Wes Floyd,190504074,P.O. Box 269- 9611 Nulla Street,Y,hours
38,2760,53.07692307692308,52,137464,2643.5384615384614,52,Scott Shaw,386411175,276 Lobortis Road,Y,hours
39,2745,52.78846153846154,52,138788,2669.0,52,David Kaiser,967706052,9185 At Street,Y,hours
40,2700,51.92307692307692,52,136931,2633.2884615384614,52,Nicolas Maillard,208510217,1027 Quis Rd.,Y,hours
41,2723,52.36538461538461,52,138407,2661.673076923077,52,Greg Phillips,308103116,P.O. Box 847- 5961 Arcu. Road,Y,hours
42,2697,51.86538461538461,52,136673,2628.326923076923,52,Randy Gelhausen,853302254,145-4200 In- Avenue,Y,hours
43,2750,52.88461538461539,52,136993,2634.480769230769,52,Dave Patton,977706052,3028 A- St.,Y,hours
